county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Adair County,001,-85.28063,37.10417,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,0
Allen County,003,-84.10579,40.77154,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Anderson County,005,-82.27069,40.84601,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0
Ballard County,007,-80.7483,41.70755,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Barren County,009,-85.93366,36.96558,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Bath County,011,-84.22173,40.56092,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1
Bell County,013,-81.11758,38.84453,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Boone County,015,-83.86743,38.93401,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,1
Bourbon County,017,-84.57557,39.43863,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1,18.95,1,20.95,0,22.95,0
Boyd County,019,-82.68778,38.35956,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,2,26.95,1,26.95,2,28.95,5,30,5,30,5,30,5
Boyle County,021,-80.85706,38.92405,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,14.95,1,16.95,1,18.95,2,18.95,0,20.95,2
Bracken County,023,-79.1956,39.10514,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,1
Breathitt County,025,-84.15183,39.04748,22.95,0,24.95,0,26.95,0,28.95,1,30,2,30,2,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Breckinridge County,027,-83.80837,39.41498,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0
Bullitt County,029,-80.5739,40.52186,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0
Butler County,031,-78.85795,39.00753,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,0,22.95,0,22.95,0
Caldwell County,033,-82.91978,40.85077,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Calloway County,035,-81.6748,38.83447,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Campbell County,037,-84.37952,38.94651,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1,30,1
Carlisle County,039,-88.97098,36.8532,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0
Carroll County,041,-83.00487,40.2784,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,1,26.95,2,28.95,1,30,0
Carter County,043,-82.07039,38.17535,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,1,26.95,1,28.95,1,30,1
Casey County,045,-82.63058,39.75163,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Christian County,047,-83.45609,39.55988,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,1,8.95,2,8.95,1,8.95,1,8.95,2,10.95,2
Clark County,049,-83.0093,39.96954,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Clay County,051,-83.71466,37.15971,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0
Clinton County,053,-82.02656,38.76972,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Crittenden County,055,-81.17866,41.49953,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0
Cumberland County,057,-85.38851,36.7866,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Daviess County,059,-87.08723,37.73185,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,1,14.95,1,14.95,1,16.95,0,16.95,1
Edmonson County,061,-86.23842,37.2088,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Elliott County,063,-80.5505,37.56038,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,1,28.95,1,30,1,30,1
Estill County,065,-83.65943,40.66152,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Fayette County,067,-81.09112,40.29383,10.95,2,10.95,1,12.95,1,12.95,2,14.95,3,14.95,3,14.95,3,16.95,4,16.95,3,18.95,6,20.95,4,20.95,5,22.95,5
Fleming County,069,-80.61892,40.09695,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,1
Floyd County,071,-83.60098,39.18471,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1
Franklin County,073,-84.87705,38.23917,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,12.95,1,14.95,2,14.95,1,16.95,1
Fulton County,075,-81.92934,40.56121,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Gallatin County,077,-79.66816,39.46933,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0
