county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Adair County,1,-85.28063158,37.10416698,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,0
Adams County,1,-83.47203007,38.84561491,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,2,28.95,2
Barbour County,1,-80.00301852,39.13295009,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0
Allen County,3,-86.19041643,36.75124854,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Allen County,3,-84.10579178,40.7715398,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0
Berkeley County,3,-78.02751432,39.46406867,12.95,1,14.95,1,14.95,1,16.95,3,16.95,3,18.95,3,18.95,4,20.95,4,22.95,4,22.95,4,24.95,3,26.95,4,28.95,4
Anderson County,5,-84.99099219,38.00391588,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0
Ashland County,5,-82.27068611,40.84601263,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,8.95,1,8.95,0,8.95,0,10.95,0,10.95,0
Boone County,5,-81.71120724,38.02298972,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1,30,1
Ballard County,7,-80.74830211,41.70755354,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Ashtabula County,7,-88.99925805,37.05848009,8.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,1,10.95,1,12.95,2,12.95,2,14.95,2,14.95,2,14.95,2,16.95,2
Braxton County,7,-80.71924905,38.69986197,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,18.95,0,18.95,0
Barren County,9,-82.04520574,39.33388841,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Athens County,9,-85.93366463,36.96558432,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,1,20.95,1
Brooke County,9,-80.57645222,40.27386893,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0
Bath County,11,-84.22172893,40.56091796,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1
Auglaize County,11,-83.74267966,38.14495259,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Cabell County,11,-82.2417122,38.42030603,20.95,0,20.95,1,22.95,1,24.95,2,26.95,2,26.95,3,28.95,3,30,2,30,2,30,2,30,4,30,4,30,4
Bell County,13,-83.67408169,36.73064727,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Belmont County,13,-80.988485,40.01582732,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0
Calhoun County,13,-81.11757813,38.84453263,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Boone County,15,-84.7280137,38.96995659,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,1
Brown County,15,-83.86742632,38.93400719,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,1,26.95,1,28.95,1,30,1
Clay County,15,-81.0750742,38.46252311,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Bourbon County,17,-84.21716421,38.20673845,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1,18.95,1,20.95,0,22.95,0
Butler County,17,-84.5755717,39.43862674,10.95,0,12.95,0,12.95,0,12.95,3,14.95,3,14.95,4,16.95,4,16.95,6,18.95,5,18.95,6,20.95,5,22.95,5,22.95,6
Doddridge County,17,-80.70697215,39.26917466,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Boyd County,19,-82.68777935,38.3595602,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,2,26.95,1,26.95,2,28.95,5,30,5,30,5,30,5
Carroll County,19,-81.08971693,40.57957773,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Fayette County,19,-81.08115795,38.02877251,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,1,28.95,1,30,1,30,1
Boyle County,21,-84.86683897,37.62433612,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,14.95,1,16.95,1,18.95,2,18.95,0,20.95,2
Champaign County,21,-83.76949579,40.13767516,6.95,0,6.95,0,8.95,0,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1
Gilmer County,21,-80.85706379,38.9240511,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Bracken County,23,-84.09014346,38.68879674,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,1
Clark County,23,-83.78390756,39.91677672,12.95,0,12.95,0,14.95,0,14.95,3,16.95,3,16.95,3,18.95,1,18.95,3,20.95,4,20.95,4,22.95,3,24.95,3,24.95,3
Grant County,23,-79.19559528,39.10513554,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Breathitt County,25,-83.32406119,37.52161582,22.95,0,24.95,0,26.95,0,28.95,1,30,2,30,2,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Clermont County,25,-84.15183443,39.04748009,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,2,18.95,2,18.95,2,20.95,2,20.95,2,22.95,2,24.95,3
Greenbrier County,25,-80.45299,37.94695817,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,16.95,1,18.95,1,20.95,1,20.95,1,22.95,1,24.95,1,24.95,2,26.95,2
Breckinridge County,27,-86.42933787,37.77338912,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0
Clinton County,27,-83.80836878,39.41498202,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,1
Hampshire County,27,-78.6141129,39.31707459,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Bullitt County,29,-85.69585986,37.97007356,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0
Columbiana County,29,-80.77719636,40.76842513,8.95,0,8.95,0,8.95,0,10.95,1,10.95,0,10.95,2,12.95,2,12.95,3,12.95,2,14.95,4,14.95,4,16.95,3,16.95,4
Hancock County,29,-80.5738998,40.52186151,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,2
Butler County,31,-86.68162677,37.20728384,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,0,22.95,0,22.95,0
Coshocton County,31,-81.92001732,40.30166177,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Hardy County,31,-78.85794856,39.00753495,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0
Caldwell County,33,-87.86786423,37.14540735,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Crawford County,33,-82.91977713,40.85076916,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Harrison County,33,-80.37985917,39.2835247,12.95,1,12.95,1,14.95,0,14.95,0,16.95,1,16.95,1,18.95,1,18.95,1,20.95,1,20.95,1,22.95,2,24.95,2,24.95,3
Calloway County,35,-88.27225541,36.62101262,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Cuyahoga County,35,-81.6586482,41.42444123,10.95,3,10.95,3,10.95,4,12.95,12,12.95,13,12.95,14,14.95,15,14.95,14,16.95,11,16.95,10,18.95,10,18.95,11,20.95,18
Jackson County,35,-81.67479816,38.83446892,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Campbell County,37,-84.37951598,38.94651337,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1,30,1
Darke County,37,-84.6194024,40.13326856,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Jefferson County,37,-77.86279698,39.30757773,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,1,24.95,1
Carlisle County,39,-88.97098112,36.8531999,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0
Defiance County,39,-84.49047484,41.32391658,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1
